"decimalLongitude","decimalLatitude","side","code"
-67.0998306274,17.9291496277,1,"OBIS141"
-64.6622161865,18.3363704681,1,"OBIS142"
-67.0175094604,17.9041500092,1,"OBIS143"
-64.612411499,17.7652397156,1,"OBIS145"
-64.5976791382,17.7877197266,1,"OBIS146"
-64.7037124634,18.3025398254,1,"OBIS147"
-77.9709472656,18.4534492493,1,"OBIS148"
-64.6409225464,17.7181091309,1,"OBIS149"
-66.952331543,17.9248199463,1,"OBIS150"
-67.0082778931,17.9018096924,1,"OBIS151"
-67.0554962158,17.9200000763,1,"OBIS152"
-64.5756835938,17.7942695618,1,"OBIS153"
-64.6074981689,17.7685699463,1,"OBIS154"
-87.528213501,17.2505836487,1,"OBIS158"
-67.0899124146,17.9029102325,1,"OBIS159"
-67.0344467163,17.9175701141,1,"OBIS160"
-64.6368865967,17.7964000702,1,"OBIS161"
-64.6277313232,17.7947292328,1,"OBIS162"
-64.5733108521,17.7822208405,1,"OBIS163"
-67.0898971558,17.9121799469,1,"OBIS164"
-64.699180603,18.3237705231,1,"OBIS165"
-64.5923995972,17.7846107483,1,"OBIS166"
-64.6186065674,17.7614498138,1,"OBIS167"
-66.9918823242,17.931060791,1,"OBIS168"
-64.5728530884,17.7657108307,1,"OBIS169"
-66.910369873,17.941570282,1,"OBIS170"
-64.56590271,17.7607192993,1,"OBIS171"
-66.2632827759,17.9229507446,1,"OBIS173"
-64.6100006104,17.7875804901,1,"OBIS174"
-66.9669189453,17.9436607361,1,"OBIS175"
-64.631072998,17.8044109344,1,"OBIS176"
-64.5820236206,17.7658004761,1,"OBIS177"
-67.0091400146,17.9204998016,1,"OBIS178"
-39.065278,-16.891667,1,"OBIS180"
-67.0063018799,17.929769516,1,"OBIS181"
-64.7795562744,18.3606300354,1,"OBIS182"
-64.6627502441,17.7790393829,1,"OBIS183"
-64.5863113403,17.7920608521,1,"OBIS184"
-64.575843811,17.7650108337,1,"OBIS185"
-64.6097106934,17.787109375,1,"OBIS186"
-64.683921814,18.3405895233,1,"OBIS187"
-64.6103286743,17.7887802124,1,"OBIS188"
-66.9977493286,17.893119812,1,"OBIS189"
-64.6157073975,17.7978401184,1,"OBIS190"
-64.5739364624,17.7955799103,1,"OBIS191"
-64.7644729614,18.3602199554,1,"OBIS192"
-64.6235198975,17.7290706635,1,"OBIS193"
-64.5953826904,17.7775192261,1,"OBIS194"
-64.6385726929,17.8019104004,1,"OBIS195"
-64.6336898804,17.7926597595,1,"OBIS196"
-64.7798080444,18.3132305145,1,"OBIS197"
-64.694229126,18.3286991119,1,"OBIS198"
-67.0862426758,17.9171009064,1,"OBIS199"
-66.9872665405,17.9116306305,1,"OBIS200"
-64.6659469604,17.7710704803,1,"OBIS201"
-64.5895385742,17.776550293,1,"OBIS202"
-66.945930481,17.9249992371,1,"OBIS203"
-77.0054855347,18.4150657654,1,"OBIS205"
-67.0986480713,17.9318809509,1,"OBIS206"
-64.5935821533,17.7858695984,1,"OBIS207"
-64.5727462769,17.7895107269,1,"OBIS208"
-80.4135971069,25.0132827759,1,"OBIS209"
-67.0553665161,17.9229602814,1,"OBIS210"
-64.6186676025,17.7616195679,1,"OBIS211"
-64.6177062988,17.784570694,1,"OBIS212"
-67.0747070312,17.9369697571,1,"OBIS213"
-67.1027908325,17.9246292114,1,"OBIS214"
-64.6305770874,17.7949504852,1,"OBIS215"
-64.7525634766,18.3177604675,1,"OBIS216"
-67.0941467285,17.938999176,1,"OBIS217"
-94.2799987793,28.1700000763,1,"OBIS218"
-64.5972213745,17.7673301697,1,"OBIS219"
-64.5851364136,17.7775096893,1,"OBIS220"
-67.027557373,17.9661197662,1,"OBIS221"
-64.6473617554,17.7663593292,1,"OBIS222"
-64.770362854,18.3158302307,1,"OBIS223"
-64.7716903687,18.3525791168,1,"OBIS224"
-67.032623291,17.915309906,1,"OBIS225"
-64.6757888794,18.3294506073,1,"OBIS226"
-64.5945205688,17.7850704193,1,"OBIS227"
-67.0817108154,17.9396896362,1,"OBIS228"
-79.8940811157,19.6878509521,1,"OBIS229"
-67.094291687,17.9214706421,1,"OBIS230"
-66.9377822876,17.9185390472,1,"OBIS231"
-64.5753936768,17.776720047,1,"OBIS232"
-64.622467041,17.7953891754,1,"OBIS233"
-39.071389,-16.975278,1,"OBIS234"
-64.568397522,17.7632293701,1,"OBIS235"
-64.6039810181,17.7882003784,1,"OBIS236"
-67.024017334,17.9123096466,1,"OBIS237"
-67.0682601929,17.9257392883,1,"OBIS238"
-64.6896209717,18.3390693665,1,"OBIS239"
-64.6119232178,17.7881908417,1,"OBIS240"
-64.6157531738,17.7987194061,1,"OBIS241"
-64.6673965454,17.7739391327,1,"OBIS242"
-64.6302337646,17.8004302979,1,"OBIS243"
-67.0688934326,17.9347801208,1,"OBIS244"
-64.5754470825,17.7744293213,1,"OBIS245"
-64.6310272217,17.8053207397,1,"OBIS246"
-64.7786331177,18.3589000702,1,"OBIS247"
-64.6385803223,17.8015193939,1,"OBIS248"
-64.6406173706,17.7677402496,1,"OBIS249"
-64.6615829468,17.70911026,1,"OBIS250"
-64.6344909668,17.7947101593,1,"OBIS252"
-66.9375610352,17.9174194336,1,"OBIS253"
-77.9345474243,18.4946842194,1,"OBIS254"
-65.5330200195,18.3421497345,1,"OBIS255"
-67.0780410767,17.9064006805,1,"OBIS256"
-64.7772979736,18.3119297028,1,"OBIS257"
-64.663772583,17.708530426,1,"OBIS258"
-66.9781570435,17.9123802185,1,"OBIS259"
-64.5922927856,17.7737998962,1,"OBIS262"
-67.0810012817,17.9007892609,1,"OBIS263"
-66.9371871948,17.9301204681,1,"OBIS264"
-64.5778808594,17.7144508362,1,"OBIS265"
-77.36353302,8.659377098,1,"OBIS266"
-64.5823974609,17.7679290771,1,"OBIS267"
-64.6663665771,17.7791099548,1,"OBIS268"
-80.0962905884,26.1015796661,1,"OBIS269"
-64.625869751,17.7940006256,1,"OBIS271"
-39.051111,-16.882778,1,"OBIS272"
-64.606918335,17.7642803192,1,"OBIS273"
-66.9745635986,17.9101791382,1,"OBIS274"
-64.5898132324,17.7930603027,1,"OBIS275"
-39.085,-16.886389,1,"OBIS276"
-64.6049194336,17.7971992493,1,"OBIS277"
-77.3628006,8.655817032,1,"OBIS278"
-82.80500031,9.738333702,1,"OBIS279"
-64.566116333,17.7594108582,1,"OBIS280"
-64.6028823853,17.8029994965,1,"OBIS281"
-39.126944,-17.003889,1,"OBIS282"
-67.1044998169,17.9302902222,1,"OBIS283"
-64.7229003906,18.3119602203,1,"OBIS284"
-67.0712890625,17.9220199585,1,"OBIS286"
-67.1039886475,17.9284496307,1,"OBIS287"
-64.6034164429,17.7880306244,1,"OBIS288"
-64.6032104492,17.7964801788,1,"OBIS290"
-67.0326919556,17.925699234,1,"OBIS291"
-67.0586166382,17.9184093475,1,"OBIS292"
-64.6147232056,17.8027000427,1,"OBIS293"
-67.1053695679,17.9316806793,1,"OBIS294"
-67.0626831055,17.9022006989,1,"OBIS295"
-64.6127166748,17.7888298035,1,"OBIS296"
-64.7948226929,18.3549003601,1,"OBIS297"
-74.5299987793,24.0100002289,1,"OBIS298"
-64.6024169922,17.7972507477,1,"OBIS299"
-64.5849304199,17.7787799835,1,"OBIS301"
-67.0316162109,17.9109592438,1,"OBIS302"
-67.0422286987,17.9141407013,1,"OBIS303"
-67.0025405884,17.9431705475,1,"OBIS304"
-67.0988311768,17.9301605225,1,"OBIS305"
-76.18586731,9.379616737,1,"OBIS306"
-64.6012268066,17.7926902771,1,"OBIS307"
-64.6101226807,17.7918300629,1,"OBIS308"
-64.5857772827,17.7987804413,1,"OBIS309"
-64.6191101074,17.7986793518,1,"OBIS310"
-64.6156463623,17.7924499512,1,"OBIS311"
-64.5650863647,17.7594604492,1,"OBIS312"
-64.6651000977,17.7707691193,1,"OBIS313"
-39.018333,-18.011111,1,"OBIS314"
-64.6245117188,17.7800197601,1,"OBIS316"
-66.9552688599,17.9074897766,1,"OBIS317"
-64.6161880493,17.7839298248,1,"OBIS318"
-67.0931472778,17.9404697418,1,"OBIS319"
-64.6341934204,17.7894096375,1,"OBIS320"
-64.5704803467,17.7628803253,1,"OBIS322"
-64.6259231567,17.7922496796,1,"OBIS323"
-64.5845565796,17.7859992981,1,"OBIS325"
-64.6260528564,17.7910404205,1,"OBIS326"
-64.5836486816,17.7633991241,1,"OBIS327"
-64.6253890991,17.8012504578,1,"OBIS329"
-67.0861282349,17.9035491943,1,"OBIS330"
-67.0820999146,17.9124393463,1,"OBIS331"
-64.6281433105,17.7921104431,1,"OBIS332"
-64.6111984253,17.782459259,1,"OBIS334"
-67.0632400513,17.9607601166,1,"OBIS335"
-64.6120223999,17.8045406342,1,"OBIS337"
-75.82961273,9.696277618,1,"OBIS338"
-64.7141799927,18.307800293,1,"OBIS339"
-64.6293487549,17.7872695923,1,"OBIS340"
-38.924722,-17.819167,1,"OBIS341"
-64.6277770996,17.7992095947,1,"OBIS342"
-64.616859436,17.8017101288,1,"OBIS343"
-67.0378494263,17.9268608093,1,"OBIS344"
-64.609161377,17.787530899,1,"OBIS345"
-66.9672012329,17.9446601868,1,"OBIS346"
-64.6474227905,17.7773799896,1,"OBIS349"
-75.78515625,10.1642932892,1,"OBIS350"
-62.986000061,17.4648342133,1,"OBIS351"
-64.6321182251,17.7686004639,1,"OBIS352"
-64.7737426758,18.364730835,1,"OBIS354"
-75.77703094,9.767861366,1,"OBIS355"
-64.7515563965,18.37251091,1,"OBIS356"
-64.5660629272,17.7917995453,1,"OBIS357"
-66.9973068237,17.9508590698,1,"OBIS358"
-64.5845031738,17.7883300781,1,"OBIS359"
-64.6223526001,17.7659797668,1,"OBIS360"
-67.0311584473,17.9290904999,1,"OBIS361"
-67.0229263306,17.887550354,1,"OBIS362"
-64.6027374268,17.7620601654,1,"OBIS363"
-64.5765762329,17.7606506348,1,"OBIS364"
-64.6393203735,17.7927093506,1,"OBIS365"
-64.7705307007,18.3159294128,1,"OBIS366"
-64.6173400879,17.7905902863,1,"OBIS367"
-64.6260070801,17.7837600708,1,"OBIS368"
-64.5933227539,17.768699646,1,"OBIS369"
-64.6209716797,17.7670898438,1,"OBIS370"
-64.6486129761,17.7786808014,1,"OBIS371"
-64.7342987061,18.3143806458,1,"OBIS372"
-63.2531661987,17.6433334351,1,"OBIS373"
-64.7036132812,18.3386707306,1,"OBIS374"
-88.0830001831,16.7999992371,1,"OBIS375"
-64.6487121582,17.7625293732,1,"OBIS376"
-64.6272277832,17.7912006378,1,"OBIS377"
-67.0989990234,17.922460556,1,"OBIS378"
-64.5491485596,17.7638206482,1,"OBIS379"
-64.6402130127,17.7674598694,1,"OBIS380"
-64.6680221558,17.7743606567,1,"OBIS381"
-67.0290298462,17.9029407501,1,"OBIS382"
-64.6171264648,17.7893695831,1,"OBIS384"
-64.6121673584,17.8043403625,1,"OBIS385"
-67.0413589478,17.9362106323,1,"OBIS386"
-64.6106262207,17.7872905731,1,"OBIS388"
-66.9979095459,17.945110321,1,"OBIS389"
-64.6154708862,17.7655696869,1,"OBIS390"
-64.6594009399,17.7793006897,1,"OBIS391"
-64.6249694824,17.7951602936,1,"OBIS392"
-67.0290527344,17.8947601318,1,"OBIS393"
-64.7103118896,18.3027801514,1,"OBIS394"
-66.9727401733,17.91588974,1,"OBIS395"
-67.0239562988,17.963350296,1,"OBIS396"
-67.1262969971,17.9174404144,1,"OBIS398"
-39.272778,-17.996111,1,"OBIS399"
-64.75340271,18.3162002563,1,"OBIS400"
-64.6273117065,17.7638492584,1,"OBIS401"
-64.6172637939,17.7665901184,1,"OBIS403"
-64.7772216797,18.3120803833,1,"OBIS404"
-64.5675964355,17.7583904266,1,"OBIS405"
-64.6631164551,17.77602005,1,"OBIS406"
-67.2387924194,10.5531229973,1,"OBIS407"
-64.5887908936,17.7903404236,1,"OBIS408"
-64.5924377441,17.7804508209,1,"OBIS409"
-67.1043777466,17.938249588,1,"OBIS410"
-64.5830993652,17.7647399902,1,"OBIS411"
-64.6965026855,18.3500003815,1,"OBIS412"
-64.7276916504,18.3180503845,1,"OBIS413"
-67.0405578613,17.9231891632,1,"OBIS414"
-64.6274795532,17.7900295258,1,"OBIS416"
-87.7440490723,17.59375,1,"OBIS417"
-64.7168884277,18.3106098175,1,"OBIS418"
-64.5678710938,17.759929657,1,"OBIS419"
-67.0208282471,17.9387607574,1,"OBIS420"
-64.6147079468,17.7896595001,1,"OBIS421"
-67.0058898926,17.8939800262,1,"OBIS422"
-67.0788726807,17.9412097931,1,"OBIS424"
-64.6330032349,17.7867507935,1,"OBIS425"
-64.589630127,17.7851390839,1,"OBIS426"
-67.0291671753,17.9078598022,1,"OBIS428"
-64.7013473511,18.3122291565,1,"OBIS429"
-64.7013473511,18.3110198975,1,"OBIS430"
-64.6535873413,17.77368927,1,"OBIS431"
-66.9520492554,17.9001102448,1,"OBIS433"
-64.6664123535,17.7669296265,1,"OBIS434"
-74.1319274902,11.3280267715,1,"OBIS435"
-64.7021865845,18.3374996185,1,"OBIS436"
-64.594619751,17.7858791351,1,"OBIS437"
-64.5852127075,17.7815208435,1,"OBIS438"
