"species","decimalLongitude","decimalLatitude","countryCode","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName","occurrenceStatus"
"Montastraea cavernosa",-81.84412,12.15961,"CO",NA,"2418072988","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Pontificia Universidad Javeriana Cali (PUJC)",NA,"PRESENT"
"Montastraea cavernosa",-81.84763,12.18074,"CO",NA,"2418073058","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Pontificia Universidad Javeriana Cali (PUJC)",NA,"PRESENT"
"Montastraea cavernosa",-81.84489,12.17144,"CO",NA,"2418073075","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Pontificia Universidad Javeriana Cali (PUJC)",NA,"PRESENT"
"Montastraea cavernosa",-81.86382,12.17709,"CO",NA,"2418073086","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Pontificia Universidad Javeriana Cali (PUJC)",NA,"PRESENT"
"Montastraea cavernosa",-81.88745,12.17944,"CO",NA,"2451558589","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Montastraea cavernosa",-81.87848,12.1764,"CO",NA,"2451558594","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Montastraea cavernosa",-81.89901,12.160001,"CO",NA,"2451558616","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Montastraea cavernosa",-81.86388,12.13972,"CO",NA,"2451558628","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Montastraea cavernosa",-81.85861,12.16886,"CO",NA,"2451558637","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Montastraea cavernosa",-81.81825,12.1453,"CO",NA,"2451558655","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Montastraea cavernosa",-81.86003,12.1602,"CO",NA,"2451558678","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Montastraea cavernosa",-81.8929,12.15267,"CO",NA,"2451558685","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Montastraea cavernosa",-81.82453,12.14882,"CO",NA,"2451558687","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Montastraea cavernosa",-80.36544,14.31107,"CO",2,"1324643433","Montastraeidae","SPECIES",NA,2016,"HUMAN_OBSERVATION","ECOMARES",NA,"PRESENT"
"Montastraea cavernosa",-80.28733,14.37482,"CO",4,"1324643466","Montastraeidae","SPECIES",NA,2016,"HUMAN_OBSERVATION","ECOMARES",NA,"PRESENT"
"Montastraea cavernosa",-80.27538,14.3648,"CO",3,"1324643470","Montastraeidae","SPECIES",NA,2016,"HUMAN_OBSERVATION","ECOMARES",NA,"PRESENT"
"Montastraea cavernosa",-80.36983,14.28983,"CO",7,"1324643521","Montastraeidae","SPECIES",NA,2016,"HUMAN_OBSERVATION","ECOMARES",NA,"PRESENT"
"Montastraea cavernosa",-80.19104,14.41114,"CO",3,"1324643535","Montastraeidae","SPECIES",NA,2016,"HUMAN_OBSERVATION","ECOMARES",NA,"PRESENT"
"Montastraea cavernosa",-80.13593,14.39824,"CO",1,"1324643608","Montastraeidae","SPECIES",NA,2016,"HUMAN_OBSERVATION","ECOMARES",NA,"PRESENT"
"Montastraea cavernosa",-80.23627,14.5666,"CO",1,"1324643616","Montastraeidae","SPECIES",NA,2016,"HUMAN_OBSERVATION","ECOMARES",NA,"PRESENT"
"Montastraea cavernosa",-80.13081,14.38544,"CO",1,"1324643650","Montastraeidae","SPECIES",NA,2016,"HUMAN_OBSERVATION","ECOMARES",NA,"PRESENT"
"Montastraea cavernosa",-80.37193,14.35841,"CO",14,"1324643672","Montastraeidae","SPECIES",NA,2016,"HUMAN_OBSERVATION","ECOMARES",NA,"PRESENT"
"Montastraea cavernosa",-87.699237,18.72072,"MX",1,"2629810316","Montastraeidae","SPECIES",NA,2016,"HUMAN_OBSERVATION","CONABIO","Fortalecimiento de la efectividad del manejo y la resiliencia de las áreas naturales protegidas para proteger la biodiversidad amenazada por el cambio climático","PRESENT"
"Montastraea cavernosa",-97.276805,21.544444,"MX",1,"1893242294","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-97.281833,21.548583,"MX",1,"1893242313","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.987928,20.763339,"MX",1,"1893242317","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-97.275194,21.540389,"MX",1,"1893242375","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.987972,20.763417,"MX",1,"1893242383","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.987928,20.763339,"MX",1,"1893242384","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-97.275194,21.540389,"MX",1,"1893242385","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.986222,20.760722,"MX",1,"1893242399","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-97.275194,21.540389,"MX",1,"1893242418","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.986222,20.760722,"MX",1,"1893242420","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-97.275194,21.540389,"MX",1,"1893242423","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-97.275194,21.540389,"MX",1,"1893242426","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-97.275333,21.540556,"MX",1,"1893242437","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.987928,20.763339,"MX",1,"1893242456","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-97.276805,21.544444,"MX",1,"1893242457","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.986222,20.760722,"MX",1,"1893242458","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.987972,20.763417,"MX",1,"1893242460","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-97.275194,21.540389,"MX",1,"1893242469","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-97.276805,21.544444,"MX",1,"1893242472","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
