Samples;decimalLongitude;decimalLatitude;Mussismilia_hispida
Chapeir?s_04_03_2010/7/;-38.6625;-17.96277778;0
Chapeir?s_04_03_2010/8/;-38.6625;-17.96277778;0
Chapeir?s_04_03_2010/9/;-38.6625;-17.96277778;0
m;-38.6625;-17.96277778;0
Portinho_Norte_05_Mar?/1/;-38.69777778;-17.96138889;1
Portinho_Norte_05_Mar?/10/;-38.69777778;-17.96138889;0
Portinho_Norte_05_Mar?/11/;-38.69777778;-17.96138889;0
Portinho_Norte_05_Mar?/12/;-38.69777778;-17.96138889;0
Portinho_Norte_05_Mar?/13/;-38.69777778;-17.96138889;0
Portinho_Norte_05_Mar?/14/;-38.69777778;-17.96138889;0
Portinho_Norte_05_Mar?/15/;-38.69777778;-17.96138889;1
Portinho_Norte_05_Mar?/2/;-38.69777778;-17.96138889;0
Portinho_Norte_05_Mar?/24_ju/;-38.69777778;-17.96138889;0
Portinho_Norte_05_Mar?/25_ide/;-38.69777778;-17.96138889;0
Portinho_Norte_05_Mar?/4/;-38.69777778;-17.96138889;0
Portinho_Norte_05_Mar?/5/;-38.69777778;-17.96138889;0
Portinho_Norte_05_Mar?/6/;-38.69777778;-17.96138889;0
Portinho_Norte_05_Mar?/8/;-38.69777778;-17.96138889;0
Portinho_Norte_05_Mar?/9/;-38.69777778;-17.96138889;0
Siriba_02_Mar?_2010/1/;-38.71583333;-17.97055556;0
Siriba_02_Mar?_2010/10/;-38.71583333;-17.97055556;0
Siriba_02_Mar?_2010/11/;-38.71583333;-17.97055556;0
Siriba_02_Mar?_2010/12/;-38.71583333;-17.97055556;0
Siriba_02_Mar?_2010/13/;-38.71583333;-17.97055556;0
Siriba_02_Mar?_2010/14/;-38.71583333;-17.97055556;1
Siriba_02_Mar?_2010/15/;-38.71583333;-17.97055556;0
Siriba_02_Mar?_2010/17_ju/;-38.71583333;-17.97055556;0
Siriba_02_Mar?_2010/2/;-38.71583333;-17.97055556;1
Siriba_02_Mar?_2010/3/;-38.71583333;-17.97055556;0
Siriba_02_Mar?_2010/4/;-38.71583333;-17.97055556;1
Siriba_02_Mar?_2010/5/;-38.71583333;-17.97055556;0
Siriba_02_Mar?_2010/6/;-38.71583333;-17.97055556;0
Siriba_02_Mar?_2010/8/;-38.71583333;-17.97055556;0
Siriba_02_Mar?_2010/9/;-38.71583333;-17.97055556;0
Calheta/180612_10m_Video1/;-29.310286;-20.507457;0
Calheta/180612_10m_Video2/;-29.310286;-20.507457;0
Calheta/180612_10m_Video3/;-29.310286;-20.507457;0
Calheta/180612_10m_Video4/;-29.310286;-20.507457;0
Calheta/180612_10m_Video5/;-29.310286;-20.507457;0
Calheta/180612_10m_Video6/;-29.310286;-20.507457;0
Calheta/180712_5m_Video3/;-29.310286;-20.507457;0
Calheta/180712_5m_Video4/;-29.310286;-20.507457;0
Calheta/180712_5m_Video5/;-29.310286;-20.507457;0
Calheta/210712_5m_Video10/;-29.310286;-20.507457;0
Calheta/210712_5m_Video11/;-29.310286;-20.507457;0
Calheta/210712_5m_Video12/;-29.310286;-20.507457;0
Calheta/210712_5m_Video13/;-29.310286;-20.507457;0
Calheta/210712_5m_Video14/;-29.310286;-20.507457;0
Calheta/210712_5m_Video15/;-29.310286;-20.507457;0
Calheta/210712_5m_Video8/;-29.310286;-20.507457;0
Calheta/210712_5m_Video9/;-29.310286;-20.507457;0
Calheta/260612_10m_Video29/;-29.310286;-20.507457;0
Calheta/260612_10m_Video30/;-29.310286;-20.507457;0
Calheta/260612_10m_Video32/;-29.310286;-20.507457;0
Calheta/260612_10m_Video33/;-29.310286;-20.507457;0
Calheta/260612_10m_Video34/;-29.310286;-20.507457;0
Calheta/260612_10m_Video35/;-29.310286;-20.507457;0
Calheta/260612_10m_Video36/;-29.310286;-20.507457;0
Farrilhoes/020712_10m_Video46/;-29.497889;-20.522617;0
Farrilhoes/020712_10m_Video47/;-29.497889;-20.522617;0
Farrilhoes/020712_10m_Video48/;-29.497889;-20.522617;0
Farrilhoes/020712_10m_Video49/;-29.497889;-20.522617;0
Farrilhoes/020712_10m_Video50/;-29.497889;-20.522617;0
Farrilhoes/020712_10m_Video51/;-29.497889;-20.522617;0
Farrilhoes/020712_10m_Video52/;-29.497889;-20.522617;0
Farrilhoes/040712_5m_Reserva4/;-29.497889;-20.522617;0
Farrilhoes/040712_5m_Video55/;-29.497889;-20.522617;0
Farrilhoes/040712_5m_Video57/;-29.497889;-20.522617;0
Farrilhoes/040712_5m_Video58/;-29.497889;-20.522617;0
Farrilhoes/040712_5m_Video59/;-29.497889;-20.522617;0
Farrilhoes/040712_5m_Video60/;-29.497889;-20.522617;0
Farrilhoes/040712_5m_Video61/;-29.497889;-20.522617;0
Farrilhoes/140812_10m_Video62/;-29.497889;-20.522617;0
Farrilhoes/250712_5m_Video28/;-29.497889;-20.522617;0
Farrilhoes/250712_5m_Video29/;-29.497889;-20.522617;0
Orelha/050712_10m_Video64/;-29.343099;-20.492485;0
Orelha/050712_10m_Video67/;-29.343099;-20.492485;0
Orelha/050712_5m_Video65/;-29.343099;-20.492485;0
Orelha/050712_5m_Video66/;-29.343099;-20.492485;0
Orelha/100812_10m_Video51/;-29.343099;-20.492485;0
Orelha/100812_10m_Video52/;-29.343099;-20.492485;0
Orelha/100812_10m_Video53/;-29.343099;-20.492485;0
Orelha/100812_10m_Video54/;-29.343099;-20.492485;0
Orelha/100812_10m_Video55/;-29.343099;-20.492485;0
Orelha/220612_10m_Video17/;-29.343099;-20.492485;0
Orelha/220612_10m_Video18/;-29.343099;-20.492485;1
Orelha/220612_10m_Video19/;-29.343099;-20.492485;0
Orelha/220612_10m_Video20/;-29.343099;-20.492485;1
Orelha/220612_10m_Video21/;-29.343099;-20.492485;0
Orelha/220612_10m_Video22/;-29.343099;-20.492485;0
Orelha/250612_10m_Video24/;-29.343099;-20.492485;0
Orelha/250612_10m_Video25/;-29.343099;-20.492485;0
Orelha/250712_5m_Video32/;-29.343099;-20.492485;0
Ilha das Cabras/01_CABRAS_IDE_2602_RASO_GOPRO3_VIDEO3/;-45.393889;-23.830333;0
Ilha das Cabras/02_CABRAS_LU_2602_RASO_GOPRO3_VIDEO1/;-45.393889;-23.830333;0
Ilha das Cabras/03_CABRAS_LU_2602_RASO_GOPRO3_VIDEO2/;-45.393889;-23.830333;0
