"decimalLongitude","decimalLatitude","moca"
-32.4583333333333,-3.875,0
-32.375,-3.875,0
-35.2916666666667,-5.375,0
-35.125,-5.54166666666666,0
-35.0416666666667,-5.54166666666666,0
-35.2083333333333,-8.95833333333333,0
-35.2083333333333,-9.04166666666666,0
-40.375,-20.625,0
-40.375,-20.7083333333333,0
-42.0416666666667,-22.9583333333333,0
-41.9583333333333,-22.9583333333333,0
-45.375,-23.7916666666667,0
-45.2083333333333,-23.875,0
-45.2916666666667,-23.9583333333333,0
-45.7083333333333,-24.125,0
-48.2916666666667,-27.2916666666667,0
-48.375,-27.625,0
-64.7916666666667,32.4583333333333,1
-64.7083333333333,32.4583333333333,1
-64.9583333333333,32.375,1
-64.7916666666667,32.375,1
-64.7083333333333,32.375,1
-64.625,32.375,1
-64.7916666666667,32.2916666666667,1
-64.7083333333333,32.2916666666667,1
-64.625,32.2916666666667,1
-94.2916666666667,28.2083333333333,1
-93.7916666666667,27.9583333333333,1
-93.625,27.9583333333333,1
-93.5416666666667,27.9583333333333,1
-92.625,27.9583333333333,1
-93.7916666666667,27.875,1
-93.625,27.875,1
-93.2916666666667,27.875,1
-77.0416666666667,26.625,1
-76.9583333333333,26.625,1
-76.9583333333333,26.5416666666667,1
-76.9583333333333,26.375,1
-80.0416666666667,26.0416666666667,1
-80.125,25.9583333333333,1
-80.125,25.7916666666667,1
-80.125,25.7083333333333,1
-80.2083333333333,25.4583333333333,1
-80.125,25.4583333333333,1
-80.125,25.375,1
-78.125,25.2916666666667,1
-80.2083333333333,25.2083333333333,1
-77.9583333333333,25.125,1
-80.375,25.0416666666667,1
-77.9583333333333,25.0416666666667,1
-80.375,24.9583333333333,1
-83.625,24.875,1
-83.7083333333333,24.7916666666667,1
-83.7083333333333,24.7083333333333,1
-80.9583333333333,24.7083333333333,1
-77.7916666666667,24.7083333333333,1
-82.9583333333333,24.625,1
-82.875,24.625,1
-81.375,24.625,1
-81.125,24.625,1
-77.7083333333333,24.625,1
-83.0416666666667,24.5416666666667,1
-81.7916666666667,24.4583333333333,1
-81.7083333333333,24.4583333333333,1
-74.5416666666667,24.0416666666667,1
-76.125,23.7916666666667,1
-75.9583333333333,22.9583333333333,1
-78.375,22.5416666666667,1
-75.7916666666667,22.5416666666667,1
-77.625,22.2083333333333,1
-77.625,22.0416666666667,1
-72.125,21.875,1
-84.5416666666667,21.7916666666667,1
-72.2083333333333,21.7916666666667,1
-72.4583333333333,21.625,1
-82.375,21.5416666666667,1
-81.7083333333333,21.5416666666667,1
-71.4583333333333,21.5416666666667,1
-71.125,21.5416666666667,1
-97.2083333333333,21.4583333333333,1
-79.625,21.4583333333333,1
-72.2083333333333,21.4583333333333,1
-71.5416666666667,21.4583333333333,1
-71.125,21.4583333333333,1
-72.125,21.375,1
-71.625,21.375,1
-71.2083333333333,21.375,1
-71.2083333333333,21.2916666666667,1
-70.7916666666667,21.0416666666667,1
-70.7916666666667,20.9583333333333,1
-79.125,20.875,1
-96.9583333333333,20.7916666666667,1
-86.875,20.7916666666667,1
-78.9583333333333,20.7916666666667,1
-78.4583333333333,20.625,1
-87.0416666666667,20.4583333333333,1
-87.0416666666667,20.2916666666667,1
-87.4583333333333,20.125,1
-87.4583333333333,19.9583333333333,1
-87.4583333333333,19.875,1
-87.4583333333333,19.7916666666667,1
-79.875,19.7083333333333,1
-81.2916666666667,19.375,1
-81.125,19.375,1
-81.0416666666667,19.375,1
-81.2083333333333,19.2916666666667,1
-81.125,19.2916666666667,1
-95.9583333333333,19.125,1
-87.625,18.875,1
-87.2916666666667,18.7916666666667,1
-64.375,18.7916666666667,1
-87.7083333333333,18.7083333333333,1
-87.625,18.7083333333333,1
-64.2916666666667,18.7083333333333,1
-87.2083333333333,18.625,1
-64.2083333333333,18.625,1
-94.7916666666667,18.5416666666667,1
-87.4583333333333,18.5416666666667,1
-77.9583333333333,18.5416666666667,1
-77.875,18.5416666666667,1
-77.7916666666667,18.5416666666667,1
-77.7083333333333,18.5416666666667,1
-77.625,18.5416666666667,1
-64.375,18.5416666666667,1
-64.2083333333333,18.5416666666667,1
-87.7083333333333,18.4583333333333,1
-87.4583333333333,18.4583333333333,1
-78.2916666666667,18.4583333333333,1
-65.4583333333333,18.4583333333333,1
-64.5416666666667,18.4583333333333,1
-87.4583333333333,18.375,1
-87.375,18.375,1
-78.375,18.375,1
-78.2916666666667,18.375,1
