species,longitude,latitude
side,-94.2916666666667,28.2083333333333
side,-83.4583333333333,28.125
side,-93.625,27.875
side,-83.0416666666667,27.7916666666667
side,-82.9583333333333,27.7916666666667
side,-82.9583333333333,27.7083333333333
side,-82.875,27.5416666666667
side,-82.625,27.2916666666667
side,-82.625,27.125
side,-82.7083333333333,27.0416666666667
side,-82.5416666666667,27.0416666666667
side,-82.9583333333333,26.875
side,-82.875,26.875
side,-83.7083333333333,26.2916666666667
side,-82.2083333333333,26.2916666666667
side,-80.2916666666667,25.2083333333333
side,-80.2083333333333,25.2083333333333
side,-80.2916666666667,25.125
side,-80.375,25.0416666666667
side,-80.375,24.9583333333333
side,-77.7083333333333,24.7083333333333
side,-77.7083333333333,24.625
side,-81.875,24.4583333333333
side,-77.7083333333333,24.375
side,-77.625,24.2916666666667
side,-76.4583333333333,24.2083333333333
side,-74.4583333333333,24.125
side,-74.5416666666667,24.0416666666667
side,-74.5416666666667,23.9583333333333
side,-77.7916666666667,23.7083333333333
side,-71.125,21.5416666666667
side,-97.2083333333333,21.4583333333333
side,-96.9583333333333,20.7916666666667
side,-78.2083333333333,20.625
side,-78.125,20.625
side,-78.2083333333333,20.5416666666667
side,-87.0416666666667,20.4583333333333
side,-87.0416666666667,20.2916666666667
side,-79.7083333333333,19.7916666666667
side,-79.875,19.7083333333333
side,-95.9583333333333,19.125
side,-87.7083333333333,18.7083333333333
side,-94.7916666666667,18.5416666666667
side,-77.9583333333333,18.5416666666667
side,-87.7083333333333,18.4583333333333
side,-78.2916666666667,18.4583333333333
side,-65.5416666666667,18.375
side,-64.7916666666667,18.375
side,-64.7083333333333,18.375
side,-64.625,18.375
side,-78.375,18.2916666666667
side,-76.7083333333333,18.2916666666667
side,-64.7916666666667,18.2916666666667
side,-64.7083333333333,18.2916666666667
side,-67.125,17.9583333333333
side,-67.0416666666667,17.9583333333333
side,-66.9583333333333,17.9583333333333
side,-66.875,17.9583333333333
side,-66.7916666666667,17.9583333333333
side,-66.2916666666667,17.9583333333333
side,-63.0416666666667,17.9583333333333
side,-76.7916666666667,17.875
side,-67.125,17.875
side,-67.0416666666667,17.875
side,-66.9583333333333,17.875
side,-66.875,17.875
side,-64.7083333333333,17.7916666666667
side,-64.625,17.7916666666667
side,-64.5416666666667,17.7916666666667
