species,longitude,latitude
moca,-64.7916666666667,32.4583333333333
moca,-64.7083333333333,32.4583333333333
moca,-64.9583333333333,32.375
moca,-64.7916666666667,32.375
moca,-64.7083333333333,32.375
moca,-64.625,32.375
moca,-64.7916666666667,32.2916666666667
moca,-64.7083333333333,32.2916666666667
moca,-64.625,32.2916666666667
moca,-94.2916666666667,28.2083333333333
moca,-93.7916666666667,27.9583333333333
moca,-93.625,27.9583333333333
moca,-93.5416666666667,27.9583333333333
moca,-92.625,27.9583333333333
moca,-93.7916666666667,27.875
moca,-93.625,27.875
moca,-93.2916666666667,27.875
moca,-77.0416666666667,26.625
moca,-76.9583333333333,26.625
moca,-76.9583333333333,26.5416666666667
moca,-76.9583333333333,26.375
moca,-80.125,26.0416666666667
moca,-80.0416666666667,26.0416666666667
moca,-80.125,25.9583333333333
moca,-80.125,25.7916666666667
moca,-80.125,25.7083333333333
moca,-80.125,25.625
moca,-80.2083333333333,25.4583333333333
moca,-80.125,25.4583333333333
moca,-80.125,25.375
moca,-78.125,25.2916666666667
moca,-80.2916666666667,25.2083333333333
moca,-80.2083333333333,25.2083333333333
moca,-80.2916666666667,25.125
moca,-77.9583333333333,25.125
moca,-80.4583333333333,25.0416666666667
moca,-80.375,25.0416666666667
moca,-77.9583333333333,25.0416666666667
moca,-80.5416666666667,24.9583333333333
moca,-80.4583333333333,24.9583333333333
moca,-80.375,24.9583333333333
moca,-83.625,24.875
moca,-80.7083333333333,24.875
moca,-80.625,24.875
moca,-77.875,24.875
moca,-83.7083333333333,24.7916666666667
moca,-80.7916666666667,24.7916666666667
moca,-77.7916666666667,24.7916666666667
moca,-83.7083333333333,24.7083333333333
moca,-82.875,24.7083333333333
moca,-82.7916666666667,24.7083333333333
moca,-81.0416666666667,24.7083333333333
moca,-80.9583333333333,24.7083333333333
moca,-80.875,24.7083333333333
moca,-77.7916666666667,24.7083333333333
moca,-77.7083333333333,24.7083333333333
moca,-83.125,24.625
moca,-82.9583333333333,24.625
moca,-82.875,24.625
moca,-82.7083333333333,24.625
moca,-81.375,24.625
moca,-81.2083333333333,24.625
moca,-81.125,24.625
moca,-77.7083333333333,24.625
moca,-83.0416666666667,24.5416666666667
moca,-81.7083333333333,24.5416666666667
moca,-81.625,24.5416666666667
moca,-81.5416666666667,24.5416666666667
moca,-81.375,24.5416666666667
moca,-77.7083333333333,24.5416666666667
moca,-82.9583333333333,24.4583333333333
moca,-81.875,24.4583333333333
moca,-81.7916666666667,24.4583333333333
moca,-81.7083333333333,24.4583333333333
moca,-77.7083333333333,24.4583333333333
moca,-77.7083333333333,24.375
moca,-77.625,24.2916666666667
moca,-74.5416666666667,24.0416666666667
moca,-77.4583333333333,23.7916666666667
moca,-76.125,23.7916666666667
moca,-76.0416666666667,23.7916666666667
moca,-77.375,23.7083333333333
moca,-80.9583333333333,23.2916666666667
moca,-80.875,23.2916666666667
moca,-80.625,23.2083333333333
moca,-80.4583333333333,23.2083333333333
